Ref,Val,Package,PosX,PosY,Rot,Side
"BrookConnection1","~","BrookConn16",248.920000,-118.050000,-90.000000,bottom
"SW_CIRCLE1","~","SW_Cherry_MX_1.00u_PCB",308.780000,-109.551000,0.000000,top
"SW_DOWN1","~","SW_Cherry_MX_1.00u_PCB",96.896000,-110.157000,0.000000,top
"SW_L1","~","SW_Cherry_MX_1.00u_PCB",363.358000,-100.952000,0.000000,top
"SW_L2","~","SW_Cherry_MX_1.00u_PCB",363.358000,-128.562000,0.000000,top
"SW_LEFT1","~","SW_Cherry_MX_1.00u_PCB",68.540000,-112.883000,0.000000,top
"SW_PSXBOX1","~","SW_Cherry_MX_1.00u_PCB",252.560000,-204.841000,0.000000,top
"SW_R1","~","SW_Cherry_MX_1.00u_PCB",337.135000,-84.916000,0.000000,top
"SW_R2","~","SW_Cherry_MX_1.00u_PCB",337.135000,-112.526000,0.000000,top
"SW_RIGHT1","~","SW_Cherry_MX_1.00u_PCB",123.468000,-121.920000,0.000000,top
"SW_SELECT1","~","SW_Cherry_MX_1.00u_PCB",252.560000,-173.656000,0.000000,top
"SW_SQUARE1","~","SW_Cherry_MX_1.00u_PCB",282.262000,-93.937000,0.000000,top
"SW_START1","~","SW_Cherry_MX_1.00u_PCB",203.200000,-121.920000,0.000000,top
"SW_TRIANGLE1","~","SW_Cherry_MX_1.00u_PCB",308.780000,-81.941000,0.000000,top
"SW_UP1","~","SW_Cherry_MX_1.00u_PCB",130.427000,-189.071000,0.000000,top
"SW_X1","~","SW_Cherry_MX_1.00u_PCB",282.262000,-121.546000,0.000000,top
